false_alarm_rate,benefit_total_reais,cost_total_reais,breakeven_benefit_capture_rate,breakeven_wc_rate_weekly,breakeven_wc_rate_annualised_pct
0.01,300.0055727115079,16.97267443437321,0.05657453053611946,0.061865294626978116,321.6995320602862
0.02,547.0438762528074,28.769236508545696,0.05259036387649912,0.06655211605341323,346.0710034777488
0.03,867.4764589001124,40.958752748673795,0.04721598186146292,0.07412744291264342,385.46270314574576
0.04,2051.324948857234,53.97109889699965,0.02631036049508696,0.13302744371950243,691.7427073414126
0.05,2655.976282527982,66.853825844212,0.025171092936334478,0.1390483920921745,723.0516388793075
0.06,3503.3317875869625,79.43887098164157,0.02267523483305524,0.15435341798082775,802.6377735003043
0.07,3829.88458495403,88.29491096681053,0.023054196284055996,0.1518161794441109,789.4441331093767
0.08,4409.758656622713,103.18849974665171,0.023400033376357234,0.149572436231493,777.7766684037636
0.09,4808.429870173894,112.75967517602582,0.02345041483821161,0.14925109104240133,776.1056734204869
0.1,5080.653387018846,122.84372184829084,0.024178725154161983,0.14475535735173078,752.727858229
