nominal_far,threshold_origin,threshold,n_events_accelerated,n_events_total,net_delta_cost_per_1000_merchant_weeks_reais,achieved_row_level_far,achieved_seller_level_far,n_flagged,true_events_caught,false_positives,missed_events,precision,recall,n_never_flagged,n_beats_rule,n_ties_rule,pct_never_flagged,pct_beats_rule,pct_ties_rule,median_acceleration_weeks_when_beats
0.01,test_derived,0.2,26,237,-16.503699993984718,0.024621563175780042,0.11511789181692095,874,31,843,206,0.03546910755148741,0.1308016877637131,203,26,8,0.8565400843881856,0.10970464135021098,0.03375527426160337,2.0
0.01,train_derived,0.0513347022587269,107,237,-110.87680037891529,0.07346308310163732,0.239251040221914,2765,112,2653,125,0.04050632911392405,0.47257383966244726,116,107,14,0.48945147679324896,0.45147679324894513,0.05907172995780591,2.0
0.05,test_derived,0.0545454545454545,85,237,-98.02575995045987,0.059005251776336115,0.1941747572815534,2212,92,2120,145,0.04159132007233273,0.3881856540084388,138,85,14,0.5822784810126582,0.35864978902953587,0.05907172995780591,2.0
0.05,train_derived,0.04,158,237,-155.32552272125602,0.12038924930491196,0.369625520110957,4515,166,4349,71,0.03676633444075304,0.70042194092827,65,158,14,0.2742616033755274,0.6666666666666666,0.05907172995780591,2.0
0.1,test_derived,0.0403885480572597,158,237,-155.33044522831756,0.1201112140871177,0.36893203883495146,4505,166,4339,71,0.036847946725860156,0.70042194092827,65,158,14,0.2742616033755274,0.6666666666666666,0.05907172995780591,2.0
0.1,train_derived,0.012987012987012988,207,237,-189.5968873636414,0.1562557924003707,0.47156726768377255,5912,225,5687,12,0.038058186738836264,0.9493670886075949,9,207,21,0.0379746835443038,0.8734177215189873,0.08860759493670886,3.0
