slice,n_sellers,n_events,n_censored_test_rows,n_flagged,benefit_reais,cost_reais,net_delta_reais,net_delta_per_1000_merchant_weeks_reais,model_wins
vol_decile_3_of_9,776,41,3345,281,49.04462736206299,6.483470882951638,-42.561156479111354,-12.723813596146893,True
vol_decile_8_of_9,306,22,5224,197,386.7781035674537,16.567649246618632,-370.210454320835,-70.86723857596382,True
vol_decile_5_of_9,306,29,3875,210,281.9783308878984,5.167007145682845,-276.81132374221556,-71.43518032057176,True
vol_decile_6_of_9,306,26,3457,135,315.946723005158,3.3093842268385103,-312.6373387783195,-90.43602510220407,True
vol_decile_9_of_9,307,16,5927,113,581.7047885543911,22.485131287733406,-559.2196572666577,-94.35121600584742,True
vol_decile_1_of_9,409,38,2965,466,326.5696897305634,9.75937741775884,-316.81031231280457,-106.85002101612295,True
vol_decile_4_of_9,126,15,1325,39,249.79498359634562,1.4115346854773845,-248.38344891086822,-187.45920672518358,True
vol_decile_2_of_9,222,23,2749,305,537.2838262384471,6.299474741115265,-530.9843514973318,-193.1554570743295,True
vol_decile_7_of_9,307,27,3503,164,765.6926795907907,6.818911345556883,-758.8737682452338,-216.63538916506818,True
