slice,n_sellers,n_events,n_censored_test_rows,n_flagged,benefit_reais,cost_reais,net_delta_reais,net_delta_per_1000_merchant_weeks_reais,model_wins
size_q1_of_4,767,32,1402,274,41.56519040435302,0.7628910767226764,-40.802299327630344,-29.102923914144327,True
size_q2_of_4,766,91,6182,568,322.99057374471755,6.091693122169905,-316.89888062254767,-51.26154652580842,True
size_q3_of_4,766,72,10676,611,768.9856640604287,17.87914108796843,-751.1065229724603,-70.35467618700453,True
size_q4_of_4,766,42,14110,457,2361.252324323612,53.568215692872386,-2307.6841086307395,-163.5495470326534,True
